央视频道,#genre#
兵团卫视,http://192.168.0.220:4022/rtp/239.20.0.160:2118
厦门卫视,http://192.168.0.220:4022/rtp/239.20.0.168:2134
三沙卫视,http://192.168.0.220:4022/rtp/239.20.0.52:3192
延边卫视,http://192.168.0.220:4022/rtp/239.20.0.51:3216
黑龙江卫视,http://192.168.0.220:4022/rtp/239.20.0.91:3036
黑龙江卫视,http://192.168.0.220:4022/rtp/239.20.0.123:2044
辽宁卫视,http://192.168.0.220:4022/rtp/239.20.0.86:3056
辽宁卫视,http://192.168.0.220:4022/rtp/239.20.0.175:2148
湖北卫视,http://192.168.0.220:4022/rtp/239.20.0.90:3040
湖北卫视,http://192.168.0.220:4022/rtp/239.20.0.124:2046
河北卫视,http://192.168.0.220:4022/rtp/239.20.0.56:3176
天津卫视,http://192.168.0.220:4022/rtp/239.20.0.89:3044
天津卫视,http://192.168.0.220:4022/rtp/239.20.0.171:2140
山东卫视,http://192.168.0.220:4022/rtp/239.20.0.88:3048
山东卫视,http://192.168.0.220:4022/rtp/239.20.0.172:2142
四川卫视,http://192.168.0.220:4022/rtp/239.20.0.82:3072
四川卫视,http://192.168.0.220:4022/rtp/239.20.0.194:2186
重庆卫视,http://192.168.0.220:4022/rtp/239.20.0.195:2188
东南卫视,http://192.168.0.220:4022/rtp/239.20.0.58:3168
吉林卫视,http://192.168.0.220:4022/rtp/239.20.0.54:3184
广西卫视,http://192.168.0.220:4022/rtp/239.20.0.15:3344

特色频道,#genre#
财富天下,http://192.168.0.220:4022/rtp/239.20.0.167:2132
VSPN电竞,http://192.168.0.220:4022/rtp/239.20.0.50:3200
天元围棋,http://192.168.0.220:4022/rtp/239.21.0.131:3868
快乐垂钓,http://192.168.0.220:4022/rtp/239.21.0.121:3828
中国交通,http://192.168.0.220:4022/rtp/239.20.0.68:3128
IPTV谍战剧场,http://192.168.0.220:4022/rtp/239.20.0.228:2254
IPTV相声小品,http://192.168.0.220:4022/rtp/239.20.0.229:2256
IPTV野外,http://192.168.0.220:4022/rtp/239.20.0.230:2258
IPTV法治,http://192.168.0.220:4022/rtp/239.20.0.231:2260
爱电影,http://192.168.0.220:4022/rtp/239.20.0.232:2262
经典电影,http://192.168.0.220:4022/rtp/239.20.0.233:2264
爱大剧,http://192.168.0.220:4022/rtp/239.20.0.234:2266
热播剧场,http://192.168.0.220:4022/rtp/239.20.0.235:2268
爱综艺,http://192.168.0.220:4022/rtp/239.20.0.236:2270
爱体育,http://192.168.0.220:4022/rtp/239.20.0.237:2272
爱体育,http://192.168.0.220:4022/rtp/239.20.0.208:2214
求索记录,http://192.168.0.220:4022/rtp/239.21.0.118:3816
魅力时尚,http://192.168.0.220:4022/rtp/239.20.0.239:2276
收视指南,http://192.168.0.220:4022/rtp/239.20.0.240:2278
汽摩,http://192.168.0.220:4022/rtp/239.20.0.222:2242
靓妆.http://192.168.0.220:4022/rtp/239.20.0.188:2174
老故事,http://192.168.0.220:4022/rtp/239.20.0.227:2252
环球奇观,http://192.168.0.220:4022/rtp/239.20.0.245:2288
国学频道,http://192.168.0.220:4022/rtp/239.20.0.247:2292
兵器科技,http://192.168.0.220:4022/rtp/239.21.0.80:3660
电视指南,http://192.168.0.220:4022/rtp/239.21.0.81:3664
风云足球,http://192.168.0.220:4022/rtp/239.21.0.70:3620
央视台球,http://192.168.0.220:4022/rtp/239.21.0.71:3624
高尔夫网球,http://192.168.0.220:4022/rtp/239.21.0.72:3628
女性时尚,http://192.168.0.220:4022/rtp/239.21.0.73:3632
世界地理,http://192.168.0.220:4022/rtp/239.21.0.74:3636
怀旧剧场,http://192.168.0.220:4022/rtp/239.21.0.75:3640
风云剧场,http://192.168.0.220:4022/rtp/239.21.0.76:3644
央视精品,http://192.168.0.220:4022/rtp/239.21.0.77:3648
第一剧场,http://192.168.0.220:4022/rtp/239.21.0.78:3652
风云音乐,http://192.168.0.220:4022/rtp/239.21.0.79:3656
早期教育,http://192.168.0.220:4022/rtp/239.21.0.106:3764
中国教育1,http://192.168.0.220:4022/rtp/239.20.0.213:2224
现代教育,http://192.168.0.220:4022/rtp/239.20.0.128:2054
岭南戏曲,http://192.168.0.220:4022/rtp/239.20.0.115:202
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?t=Q3ZTI5YWVmMmUwM==&d=7e29aef2e03907f&pid=&cid=20&u=freeuser&l=001&sid=My5f5evM7A+JM7kBEt7zRg==&r=20240116195900&e=20240117195900&nc=5juVZbdBPOgB&a=7&v=2&hlsSessionID=7114844658832085543&srchost=172.16.22.158:8060&gid=1cTuE8i8Z%2F6MoBf3Sw1THw%3D%3D
